85701,"Tucson Convention Center, N. Granada Ave, S. Stone Ave, S. 6th Ave & S. 4th Ave",
85704,"Casas Adobes (N. La Canada Dr, Tohono Chul Park, W. Magee Rd & W. Calle Concordia)",
85705,"Flowing Wells, Limberlost & Amphi Areas",
85706,"S. Nogales Hway, S. Campbell Ave & E. Benson Hway",
85709,University of Arizona campus & N. Commerce Park Loop ,
85710,E. Broadway Blvd & E. 22nd St around Panano Wash Trails,
85711,"Poets Square, Highland Vista Cinco Via, Naylor & Myers Areas",
85712,"Rillito, Old Fort Lowell, Glenn Heights, Tucson Botanical Gardens, Avondale & Harlan Heights",
85713,"S. La Cholla Blvd, S. Mission Road, Santa Cruz River Park & Las Vistas",
85715,"Tucson Country Club, Sunset North & Indian Ridge Estates",
85716,"Central Tucson (N. Country Club Road, Palo Verde, El Conquistador)",
85718,Catalina Foothills and North Areas, 
85719,"Campus Farm, Mountain View, Samos, Campbell Grant, Catalina Vista & Jefferson Park",
85721,Central Campus - University of Arizona,
85724,University of Arizon - College of Medicine and Surrounding Medical Facilities,
85745,West Tucson Areas,
85748,East Tucson Areas,
85755,"North Tucson Areas (Stone Canyon, Rancho Vistoso, Sunridge & Innovation Corporate Center)",
85756,South Tucson Areas & Tucson International Airport,
